food_name_in_french,energy_in_kJ_for_100g,energy_in_kcal_for_100g,energy_with_jones_and_fibers_in_kJ_for_100g,energy_with_jones_and_fibers_in_kcal_for_100g,proteins_with_jones_in_g_for_100g,carbohydrates_in_g_for_100g,fats_in_g_for_100g,water_in_g_for_100g
Farine de millet,1480.0,350.0,1480.0,350.0,,,,
Farine de pois chiche,1510.0,359.0,1510.0,359.0,,47.0,,
Farine de soja,1920.0,460.0,1860.0,446.0,,,,
Amidon de riz,1460.0,343.0,1460.0,342.0,,85.0,0.0,
"Pâte à pizza fine, crue",1180.0,279.0,1160.0,276.0,,,,
"Pâte brisée, crue",1580.0,377.0,1570.0,375.0,,,,
"Pâte brisée, matière grasse végétale, cuite",2110.0,505.0,2100.0,503.0,,,,
"Pâte brisée, pur beurre, crue",1600.0,384.0,1600.0,381.0,,,,
"Pâte brisée, pur beurre, surgelée, crue",1620.0,387.0,1610.0,385.0,,,,
"Pâte brisée, pur beurre, cuite",2080.0,497.0,2070.0,494.0,,,,
"Pâte feuilletée, matière grasse végétale, crue",1570.0,377.0,1570.0,375.0,,,,
"Pâte feuilletée, surgelée, crue",1670.0,400.0,1660.0,399.0,,,,
"Pâte feuilletée, cuite",2220.0,531.0,2200.0,528.0,,,31.0,
"Pâte feuilletée pur beurre, crue",1540.0,368.0,1530.0,366.0,,,,
"Pâte feuilletée pur beurre, surgelée crue",1660.0,398.0,1650.0,396.0,,,,
"Pâte feuilletée pur beurre, cuite",2120.0,509.0,2120.0,507.0,,57.0,,
"Feuille de brick, cuite à sec sans matière grasse",1600.0,378.0,1590.0,376.0,,,,
"Pâte sablée, crue",1690.0,404.0,1690.0,404.0,,51.0,,
"Pâte sablée, cuite",2110.0,505.0,2110.0,505.0,,,,
"Pâte sablée pur beurre, crue",1610.0,383.0,1610.0,383.0,,,,
"Pâte phyllo ou Pâte filo, crue",1220.0,289.0,1220.0,289.0,,,6.0,
"Pâte sablée pur beurre, surgelée, crue",1780.0,423.0,1780.0,423.0,,,,
"Pâte sablée pur beurre, cuite",1960.0,469.0,1960.0,469.0,,63.0,,
Pâte à pizza crue,1020.0,240.0,1020.0,240.0,,,,
"Khatfa feuille de brick, préemballée",1200.0,283.0,1200.0,283.0,7.0,59.0,,
Pâte à pizza cuite,1370.0,324.0,1360.0,321.0,,,,
"Viande blanche, cuite (aliment moyen)",728.0,173.0,728.0,173.0,,,,
"Viande rouge, cuite (aliment moyen)",816.0,195.0,816.0,195.0,26.0,,,
Viande cuite (aliment moyen),765.0,182.0,765.0,182.0,,,,
"Volaille, cuite (aliment moyen)",698.0,166.0,698.0,166.0,,,,
"Boeuf, entrecôte, partie maigre, grillée/poêlée",829.0,198.0,829.0,198.0,,,,
"Boeuf, braisé",1000.0,240.0,1000.0,240.0,,0.0,,
"Boeuf, gîte à la noix, cuit",431.0,102.0,431.0,102.0,21.0,,,
"Boeuf, faux-filet, rôti/cuit au four",812.0,194.0,812.0,194.0,,,,62.0
"Boeuf, faux-filet, grillé/poêlé",762.0,182.0,762.0,182.0,,0.0,,
"Boeuf, plat de côtes, braisé",1130.0,269.0,1130.0,269.0,,0.0,,
"Boeuf, hampe, grillée/poêlée",728.0,174.0,728.0,174.0,,,,
"Boeuf, joue, braisée ou bouillie",992.0,236.0,992.0,236.0,,,,
"Boeuf, jarret, bouilli/cuit à l'eau",679.0,161.0,679.0,161.0,31.0,,,
"Boeuf, tende de tranche, grillée/poêlée",597.0,141.0,597.0,141.0,,,,
"Boeuf, tende de tranche, rôtie/cuite au four",618.0,146.0,618.0,146.0,,,,
"Boeuf, steak ou bifteck, grillé",541.0,128.0,541.0,128.0,,,,
"Boeuf, onglet, grillé",717.0,171.0,717.0,171.0,23.0,,,
"Boeuf, rumsteck, grillé",518.0,123.0,518.0,123.0,25.0,,,
"Boeuf, boule de macreuse, grillée/poêlée",607.0,144.0,607.0,144.0,,,,
"Boeuf, rosbif, rôti/cuit au four",494.0,117.0,494.0,117.0,,,,
"Boeuf, bavette d'aloyau, grillée/poêlée",682.0,162.0,682.0,162.0,25.0,,,
"Boeuf, boule de macreuse, rôtie/cuite au four",619.0,147.0,619.0,147.0,,,,
"Boeuf, à bourguignon ou pot-au-feu, cuit",728.0,172.0,728.0,172.0,34.0,,,
"Boeuf, collier, braisé",776.0,184.0,776.0,184.0,33.0,,,
"Boeuf, steak haché 5% MG, cuit",650.0,155.0,650.0,155.0,,0.0,,
"Boeuf, steak haché 10% MG, cuit",879.0,210.0,879.0,210.0,,0.0,,
"Boeuf, steak haché 15% MG, cuit",996.0,239.0,996.0,239.0,,0.0,,
"Boeuf, steak haché 20% MG, cuit",1100.0,265.0,1100.0,265.0,23.0,,,
"Boeuf, steak haché, cuit (aliment moyen)",963.0,231.0,963.0,231.0,,,,60.0
"Boeuf, paleron, braisé ou bouilli",1050.0,251.0,1050.0,251.0,,,,
"Boeuf, queue, bouillie/cuite à l'eau",820.0,196.0,820.0,196.0,28.0,,,
"Veau, côte, grillée/poêlée",657.0,156.0,657.0,156.0,,0.0,,
"Veau, carré, sauté/poêlé",720.0,171.0,720.0,171.0,28.0,,,
"Veau, escalope, cuite",620.0,147.0,620.0,147.0,31.0,,,65.0
"Veau, noix, grillée/poêlée",622.0,147.0,622.0,147.0,,,,
"Veau, noix, rôtie",622.0,147.0,622.0,147.0,,,,
"Veau, filet, rôti/cuit au four",838.0,201.0,838.0,201.0,,,,
"Veau, rôti, cuit",603.0,143.0,603.0,143.0,,0.0,,67.0
"Veau, épaule, grillée/poêlée",698.0,166.0,698.0,166.0,,,,
"Veau, épaule, braisée ou bouillie",920.0,219.0,920.0,219.0,,,,
"Veau, viande, cuite (aliment moyen)",712.0,169.0,712.0,169.0,29.0,,,
"Veau, jarret, braisé ou bouilli",873.0,207.0,873.0,207.0,,,,
"Veau, tête, bouillie/cuite à l'eau",779.0,187.0,779.0,187.0,21.0,,,
"Veau, collier, braisé ou bouilli",978.0,233.0,978.0,233.0,,,,
"Porc, longe, cuite",1000.0,240.0,1000.0,240.0,,0.0,,
"Porc, palette, crue",868.0,208.0,868.0,208.0,,,,
"Porc, épaule, cuite",1060.0,253.0,1060.0,253.0,30.0,0.0,,
"Porc, côte, grillée",885.0,211.0,885.0,211.0,,0.0,,
"Porc, rouelle de jambon, cuite",1110.0,266.0,1110.0,266.0,,,,
"Porc, carré, cuit",866.0,206.0,866.0,206.0,,,,
"Porc, filet, maigre, en rôti, cuit",828.0,198.0,828.0,198.0,,0.0,,
"Porc, filet mignon, cuit",707.0,168.0,707.0,168.0,,,,
"Porc, viande, cuite (aliment moyen)",860.0,205.0,860.0,205.0,,,,
"Porc, rôti, cuit",689.0,163.0,689.0,163.0,,,,
"Porc, travers, braisé",1380.0,333.0,1380.0,333.0,,,,
"Porc, échine, rôtie/cuite au four",1230.0,295.0,1230.0,295.0,,,,
"Porc, escalope de jambon, cuite",841.0,200.0,841.0,200.0,36.0,,,
"Poulet, cuisse, viande et peau, rôtie/cuite au four",893.0,213.0,893.0,213.0,,2.0,,
"Poulet, viande et peau, rôti/cuit au four",892.0,213.0,892.0,213.0,,,,
"Poulet, cuisse, viande, rôti/cuit au four",718.0,171.0,718.0,171.0,,0.0,,
"Poulet, filet, sans peau, sauté/poêlé",598.0,141.0,598.0,141.0,,0.0,2.0,
"Poulet, cuisse, viande, bouilli/cuit à l'eau",785.0,188.0,785.0,188.0,,,,
"Poulet, cuisse, viande et peau, bouilli/cuit à l'eau",790.0,188.0,790.0,188.0,,,,
"Poulet, poitrine, viande et peau, rôti/cuit au four",794.0,189.0,794.0,189.0,,0.0,,
"Poulet, aile, viande et peau, rôti/cuit au four",1030.0,247.0,1030.0,247.0,,0.0,,
"Poulet, filet, sans peau, sauté/poêlé, bio",611.0,144.0,611.0,144.0,,0.0,,
"Dinde, viande, rôtie/cuite au four",636.0,151.0,636.0,151.0,,0.0,,
"Dinde, escalope, sautée/poêlée",524.0,124.0,524.0,124.0,,0.0,,
"Dinde, escalope, rôtie/cuite au four",539.0,128.0,539.0,128.0,,,,
"Agneau, côtelette, grillée",999.0,240.0,999.0,240.0,,,,58.0
"Agneau, gigot, rôti/cuit au four",708.0,169.0,708.0,169.0,,0.0,,
"Agneau, épaule, rôtie/cuite au four",1050.0,252.0,1050.0,252.0,,,,
"Agneau, épaule, maigre, rôtie/cuite au four",822.0,197.0,822.0,197.0,,0.0,,
"Agneau, collier, braisé ou bouilli",1520.0,365.0,1520.0,365.0,,,,
"Agneau, côte filet, grillée/poêlée",660.0,157.0,660.0,157.0,,,,
"Agneau, côte première, grillée/poêlée",777.0,185.0,777.0,185.0,,0.0,,
"Agneau, selle, partie maigre, rôtie/cuite au four",645.0,153.0,645.0,153.0,,0.0,,
"Agneau, gigot, grillé/poêlé",731.0,174.0,731.0,174.0,,,,
"Agneau, gigot, braisé",932.0,222.0,932.0,222.0,,,,
"Agneau, selle, partie maigre, grillée/poêlée",645.0,153.0,645.0,153.0,,,,
"Agneau, côte ou côtelette, cuite (aliment moyen)",660.0,157.0,660.0,157.0,,0.0,,
"Agneau, viande, cuite (aliment moyen)",868.0,208.0,868.0,208.0,,,,
"Agneau, côte ou côtelette, grillée/poêlée (aliment moyen)",660.0,157.0,660.0,157.0,,0.0,,
"Chevreuil, rôti/cuit au four",632.0,150.0,632.0,150.0,,0.0,,
"Sanglier, rôti/cuit au four",643.0,153.0,643.0,153.0,,0.0,,
"Cerf, rôti/cuit au four",632.0,150.0,632.0,150.0,,0.0,,
"Gibier à poil, cuit (aliment moyen)",641.0,152.0,641.0,152.0,,0.0,,
"Faisan, viande, rôtie/cuite au four",999.0,239.0,999.0,239.0,,0.0,,
"Gibier à plumes, viande, cuit (aliment moyen)",908.0,217.0,908.0,217.0,,0.0,13.0,
"Cheval, viande, rôtie/cuite au four",581.0,138.0,581.0,138.0,28.0,0.0,,
"Cheval, tende de tranche, grillée/poêlée",570.0,135.0,570.0,135.0,,,,
"Cheval, faux-filet, grillé/poêlé",685.0,163.0,685.0,163.0,,,,
"Cheval, entrecôte, grillée/poêlée",711.0,169.0,711.0,169.0,,,,
"Cheval, faux-filet, rôti/cuit au four",729.0,173.0,729.0,173.0,,,,
"Cheval, tende de tranche, rôtie/cuite au four",607.0,144.0,607.0,144.0,,,,
"Chevreau, cuit",573.0,136.0,573.0,136.0,,0.0,,
"Lapin, viande braisée",828.0,197.0,828.0,197.0,,0.0,,
"Lapin, viande cuite",697.0,167.0,697.0,167.0,,,,
"Lapin de garenne, viande, cuite",691.0,164.0,691.0,164.0,33.0,0.0,,
"Chapon, viande et peau, rôti/cuit au four",923.0,221.0,923.0,221.0,29.0,0.0,,
"Caille, viande et peau, cuite",860.0,206.0,860.0,206.0,,0.0,,
"Canard, viande et peau, rôti/cuit au four",1370.0,331.0,1370.0,331.0,19.0,0.0,,
"Canard, viande, rôtie/cuite au four",811.0,194.0,811.0,194.0,,0.0,,
"Canard, magret, grillé/poêlé",928.0,222.0,928.0,222.0,,,,
"Oie, viande, rôtie/cuite au four",961.0,230.0,961.0,230.0,29.0,0.0,,
"Oie, viande et peau, rôtie/cuite au four",1240.0,298.0,1240.0,298.0,,0.0,,52.0
"Pigeon, viande, rôtie/cuite au four",887.0,213.0,887.0,213.0,,0.0,13.0,62.0
"Autruche, viande cuite",706.0,168.0,706.0,168.0,,0.0,,
"Cervelle, agneau, cuite",603.0,145.0,603.0,145.0,,,,
"Cervelle, porc, braisée",722.0,174.0,722.0,174.0,,,,
"Cervelle, veau, cuite",551.0,133.0,551.0,133.0,,0.0,,
"Coeur, boeuf, cuit",560.0,133.0,560.0,133.0,23.0,,,
"Coeur, poulet, cuit",744.0,177.0,744.0,177.0,,,,
"Coeur, dinde, cuit",701.0,167.0,701.0,167.0,,0.0,,
"Coeur, agneau, cuit",750.0,179.0,750.0,179.0,25.0,,,
"Foie, agneau, cuit",659.0,157.0,659.0,157.0,23.0,,,65.0
"Foie, génisse, cuit",695.0,165.0,695.0,165.0,,,,
"Foie, veau, cuit",511.0,121.0,511.0,121.0,19.0,,,
"Foie, volaille, cuit",687.0,164.0,687.0,164.0,,0.0,,
"Foie, porc, cuit",669.0,159.0,669.0,159.0,26.0,,,
"Foie, poulet, cuit",670.0,160.0,670.0,160.0,,,,
"Foie, dinde, cuit",762.0,182.0,762.0,182.0,27.0,0.0,,64.0
"Langue, veau, cuite",986.0,237.0,986.0,237.0,21.0,0.0,17.0,
"Langue, boeuf, cuite",981.0,235.0,981.0,235.0,,0.0,,
"Ris, agneau, cuit",948.0,227.0,948.0,227.0,,0.0,,
"Ris, veau, braisé ou sauté/poêlé",572.0,136.0,572.0,136.0,21.0,0.0,,
"Rognon, cuit (aliment moyen)",678.0,161.0,678.0,161.0,,0.0,,
"Rognon, boeuf, cuit",718.0,171.0,718.0,171.0,27.0,0.0,7.0,
"Rognon, porc, cuit",606.0,144.0,606.0,144.0,,0.0,,
"Rognon, agneau, braisé",536.0,127.0,536.0,127.0,,0.0,,
"Rognon, veau, braisé ou sauté/poêlé",701.0,167.0,701.0,167.0,26.0,0.0,7.0,
"Abat, cuit (aliment moyen)",682.0,162.0,682.0,162.0,,,,
"Gésier, canard, confit, appertisé",632.0,149.0,632.0,149.0,,0.0,,
"Boeuf, côte, crue",1040.0,251.0,1040.0,251.0,,,,
"Boeuf, épaule, crue",703.0,168.0,703.0,168.0,,0.0,,69.0
"Boeuf, basse-côte, crue",837.0,201.0,837.0,201.0,19.0,,,
"Boeuf, gîte à la noix, cru",622.0,148.0,622.0,148.0,,0.0,,
"Boeuf, entrecôte, crue",961.0,231.0,961.0,231.0,,0.0,,
"Boeuf, rond de gîte, cru",470.0,111.0,470.0,111.0,,,,74.0
"Boeuf, faux-filet, cru",639.0,152.0,639.0,152.0,,,,
"Boeuf, filet, cru",553.0,132.0,553.0,132.0,,,,
"Boeuf, plat de côtes, cru",1190.0,287.0,1190.0,287.0,,0.0,,
"Boeuf, hampe, crue",643.0,154.0,643.0,154.0,19.0,0.0,,
"Boeuf, joue, crue",571.0,136.0,571.0,136.0,,,,
"Boeuf, jarret, cru",513.0,122.0,513.0,122.0,,0.0,,
"Boeuf, tende de tranche, crue",488.0,116.0,488.0,116.0,,,,
"Boeuf, steak ou bifteck, cru",926.0,223.0,926.0,223.0,,0.0,,
"Boeuf, boule de macreuse, crue",495.0,118.0,495.0,118.0,,0.0,,
"Boeuf, onglet, cru",577.0,138.0,577.0,138.0,,,,
"Boeuf, rumsteck, cru",482.0,114.0,482.0,114.0,,,,
"Boeuf, bavette d'aloyau, crue",557.0,133.0,557.0,133.0,,0.0,,
"Boeuf, à bourguignon ou pot-au-feu, cru",686.0,164.0,686.0,164.0,24.0,0.0,,
"Boeuf, collier, cru",825.0,198.0,825.0,198.0,,,,
"Boeuf, steak haché 5% MG, cru",547.0,130.0,547.0,130.0,,,,74.0
"Boeuf, steak haché 10% MG, cru",713.0,171.0,713.0,171.0,20.0,,,
"Boeuf, steak haché 15% MG, cru",873.0,209.0,873.0,209.0,,,,
"Boeuf, steak haché 20% MG, cru",1030.0,249.0,1030.0,249.0,,0.0,20.0,
"Boeuf, paleron, cru",602.0,144.0,602.0,144.0,,0.0,,
"Boeuf, queue, crue",849.0,203.0,849.0,203.0,,,,65.0
"Veau, côte, crue",787.0,189.0,787.0,189.0,,0.0,,
"Veau, carré, cru",606.0,145.0,606.0,145.0,,,,
"Veau, escalope, crue",457.0,108.0,457.0,108.0,,,,
"Veau, noix, crue",467.0,111.0,467.0,111.0,,0.0,,
"Veau, filet, cru",402.0,95.0,402.0,95.0,,0.0,,
"Veau, steak haché 20% MG, cru",1010.0,243.0,1010.0,243.0,,,,
"Veau, steak haché 15% MG, cru",864.0,208.0,864.0,208.0,,,15.0,
"Veau, poitrine, crue",733.0,176.0,733.0,176.0,,0.0,,
"Veau, rôti, cru",611.0,145.0,611.0,145.0,,0.0,,
"Veau, épaule, crue",523.0,124.0,523.0,124.0,,0.0,,
"Veau, pied, cru",769.0,184.0,769.0,184.0,,,12.0,
"Veau, jarret, cru",496.0,118.0,496.0,118.0,,0.0,,
"Veau, collier, cru",556.0,133.0,556.0,133.0,,,,
"Porc, épaule, crue",743.0,178.0,743.0,178.0,,,,
"Porc, poitrine, crue",1050.0,253.0,1050.0,253.0,17.0,0.0,,
"Porc, longe, crue",733.0,175.0,733.0,175.0,,,,
"Porc, jarret, cru",780.0,187.0,780.0,187.0,,0.0,12.0,
"Porc, côte, crue",687.0,164.0,687.0,164.0,,,,
"Porc, rouelle de jambon, crue",623.0,149.0,623.0,149.0,,0.0,,
"Porc, carré, cru",612.0,146.0,612.0,146.0,,,,
"Porc, filet, maigre, cru",493.0,117.0,493.0,117.0,,0.0,,
"Porc, filet mignon, cru",519.0,123.0,519.0,123.0,,,,
"Porc, rôti, cru",642.0,153.0,642.0,153.0,,,,
"Porc, échine, crue",826.0,198.0,826.0,198.0,18.0,,14.0,63.0
"Porc, travers, cru",983.0,237.0,983.0,237.0,18.0,,18.0,
"Porc, escalope de jambon, crue",541.0,129.0,541.0,129.0,,0.0,,
"Porc, bardière découennée, crue",3060.0,744.0,3060.0,744.0,,,,
"Porc, gorge, découennée, crue",1960.0,475.0,1960.0,475.0,,,,
"Porc, hachage sans jarret, sans bateau, découenné, dégraissé, désossé, cru",780.0,187.0,780.0,187.0,,,,
"Porc, jambon sans jarret, sans bateau, découenné, dégraissé, désossé, cru",592.0,141.0,592.0,141.0,,,,
"Porc, jambonneau arrière, découenné, dégraisssé, désossé, cru",618.0,148.0,618.0,148.0,,,,
"Porc, maigre 90/10, cru",882.0,212.0,882.0,212.0,,,,
"Porc, maigre 80/20, cru",1210.0,293.0,1210.0,293.0,,,,
"Porc, palette, découennée, dégraissée, désossée, crue",728.0,174.0,728.0,174.0,,,,
"Porc, poitrine cutter, sans mouille, crue",1340.0,323.0,1340.0,323.0,,,,
"Porc, rôti filet avec chaînette, cru",615.0,146.0,615.0,146.0,,,,
"Poulet, cuisse, viande et peau, cru",799.0,192.0,799.0,192.0,,0.0,,
"Poulet, viande, crue",477.0,113.0,477.0,113.0,20.0,0.0,,
"Poulet (var. blanc), viande et peau, cru",519.0,123.0,519.0,123.0,,0.0,,
"Poulet fermier, viande et peau, cru",569.0,135.0,569.0,135.0,,,,
"Poulet, viande et peau, cru",723.0,173.0,723.0,173.0,,,,
"Poulet, filet, sans peau, cru",464.0,110.0,464.0,110.0,,0.0,,
"Poulet, haut de cuisse, viande, cru",487.0,116.0,487.0,116.0,,0.0,,
"Poulet éviscéré sans abats, cru",875.0,210.0,875.0,210.0,,,,
"Poulet, pilon, cru",648.0,155.0,648.0,155.0,,0.0,,
"Poulet, aile, viande et peau, cru",754.0,181.0,754.0,181.0,,0.0,11.0,
"Poulet, cuisse, viande, cru",478.0,114.0,478.0,114.0,,0.0,,76.0
"Poulet, poitrine, viande et peau, cru",657.0,157.0,657.0,157.0,,0.0,,
"Poulet, cuisse, viande et peau, cru, bio",805.0,193.0,805.0,193.0,,0.0,,
"Poulet, cuisse, viande et peau, cru, label rouge",723.0,173.0,723.0,173.0,,0.0,,
"Poulet, filet, sans peau, cru, bio",497.0,118.0,497.0,118.0,,0.0,,
"Poulet, filet, sans peau, cru, label rouge",478.0,113.0,478.0,113.0,,0.0,1.0,
"Dinde, viande et peau, crue",557.0,132.0,557.0,132.0,,0.0,,
"Dinde, viande, crue",464.0,110.0,464.0,110.0,,,,
"Dinde, escalope, crue",463.0,109.0,463.0,109.0,,,,
"Dinde, cuisse, viande et peau, crue",627.0,150.0,627.0,150.0,,0.0,,
"Dinde, cuisse, viande sans peau, crue",461.0,109.0,461.0,109.0,,,,76.0
"Dinde, aile, crue",800.0,192.0,800.0,192.0,,0.0,,
"Mouton, viande, crue",576.0,137.0,576.0,137.0,,,,
"Mouton, épaule, crue",848.0,204.0,848.0,204.0,,,,
"Mouton, pied, cru",848.0,204.0,848.0,204.0,,,,
"Mouton, tête, crue",848.0,204.0,848.0,204.0,,,,
"Mouton, gigot, cru",935.0,225.0,935.0,225.0,18.0,,17.0,64.0
"Agneau, côtelette, crue",1520.0,368.0,1520.0,368.0,,0.0,,
"Agneau, gigot, cru",538.0,128.0,538.0,128.0,20.0,,,
"Agneau, épaule, crue",711.0,170.0,711.0,170.0,,,,
"Agneau, épaule, maigre, crue",582.0,139.0,582.0,139.0,,0.0,,73.0
"Agneau, collier, cru",812.0,195.0,812.0,195.0,18.0,,,
"Agneau, selle, crue",979.0,236.0,979.0,236.0,,0.0,,
"Agneau, côte filet, crue",1000.0,242.0,1000.0,242.0,,,18.0,64.0
"Agneau, côte première, crue",1140.0,276.0,1140.0,276.0,,0.0,,
"Agneau, côte ou côtelette, crue (aliment moyen)",1130.0,273.0,1130.0,273.0,,,,60.0
"Agneau, côte découverte, crue",854.0,205.0,854.0,205.0,,,15.0,
"Sanglier, cru",616.0,147.0,616.0,147.0,,0.0,,70.0
"Lièvre, viande crue",466.0,111.0,466.0,111.0,,0.0,,
"Chevreuil, cru",465.0,110.0,465.0,110.0,23.0,0.0,2.0,
"Cerf, cru",479.0,113.0,479.0,113.0,,0.0,,
"Faisan, viande, cru",535.0,127.0,535.0,127.0,,0.0,,
"Faisan, viande et peau, cru",688.0,164.0,688.0,164.0,,0.0,,
"Cheval, viande, crue",699.0,167.0,699.0,167.0,,,10.0,70.0
"Cheval, steak, cru",541.0,129.0,541.0,129.0,,,,
"Cheval, tende de tranche, crue",448.0,106.0,448.0,106.0,,,,
"Cheval, faux-filet, cru",510.0,121.0,510.0,121.0,,,,
"Cheval, entrecôte, crue",499.0,118.0,499.0,118.0,,,,
"Chevreau, cru",436.0,103.0,436.0,103.0,,0.0,,
"Lapin, viande crue",787.0,189.0,787.0,189.0,,,,
"Lapin de garenne, viande, crue",456.0,108.0,456.0,108.0,,0.0,,
"Poule, viande et peau, crue",894.0,215.0,894.0,215.0,,,,
"Poule, viande ,crue",523.0,124.0,523.0,124.0,,0.0,,
"Poule, cuisse, crue",551.0,131.0,551.0,131.0,,0.0,,
"Chapon, viande et peau, cru",764.0,183.0,764.0,183.0,,0.0,,
"Caille, viande et peau, crue",570.0,136.0,570.0,136.0,,0.0,,
"Caille, viande, crue",532.0,126.0,532.0,126.0,,,,70.0
"Canard, viande, crue",527.0,126.0,527.0,126.0,,0.0,,
"Canard, cuisse avec peau, sans os, crue",433.0,103.0,433.0,103.0,,,,
"Canard, viande et peau, cru",1180.0,284.0,1180.0,284.0,,,,
"Canard, magret, cru",1410.0,340.0,1410.0,340.0,,,,
"Oie, viande crue",648.0,155.0,648.0,155.0,,0.0,,
"Oie, viande et peau, crue",1510.0,365.0,1510.0,365.0,,0.0,,
"Pigeon, cru",924.0,222.0,924.0,222.0,,,16.0,
"Pintade, crue",601.0,143.0,601.0,143.0,,0.0,,
"Pintade, poitrine, crue",453.0,107.0,453.0,107.0,,0.0,,
"Pintade, cuisse, crue",510.0,121.0,510.0,121.0,,0.0,4.0,
"Autruche, viande crue",666.0,159.0,666.0,159.0,,0.0,,
"Cervelle, agneau, crue",508.0,122.0,508.0,122.0,,,,
"Cervelle, porc, crue",516.0,124.0,516.0,124.0,,0.0,,
"Cervelle, veau, crue",488.0,117.0,488.0,117.0,,,,
"Coeur, boeuf, cru",435.0,103.0,435.0,103.0,,,,79.0
"Coeur, poulet, cru",622.0,149.0,622.0,149.0,,,,
"Coeur, dinde, cru",566.0,135.0,566.0,135.0,,,,
"Coeur, agneau, cru",497.0,119.0,497.0,119.0,,,,
"Coeur, porc, cru",457.0,109.0,457.0,109.0,,,,
"Coeur, veau, cru",446.0,106.0,446.0,106.0,,,,
"Foie, agneau, cru",622.0,148.0,622.0,148.0,,,,
"Foie, génisse, cru",579.0,138.0,579.0,138.0,21.0,,,70.0
"Foie, veau, cru",505.0,120.0,505.0,120.0,,,,
"Foie, volaille, cru",561.0,133.0,561.0,133.0,,,,
"Foie, lapin, cru",556.0,132.0,556.0,132.0,19.0,5.0,4.0,
"Foie, poulet, cru",509.0,121.0,509.0,121.0,,,,
"Foie, dinde, cru",514.0,123.0,514.0,123.0,,0.0,,
"Foie, porc, cru",536.0,127.0,536.0,127.0,,,,
"Foie, oie, cru",543.0,129.0,543.0,129.0,,,,
"Foie, canard, cru",549.0,131.0,549.0,131.0,,,,
"Langue, boeuf, crue",804.0,193.0,804.0,193.0,,,,
"Langue, veau, crue",632.0,151.0,632.0,151.0,17.0,,,
"Langue, porc, crue",794.0,191.0,794.0,191.0,,,,
"Langue, agneau, crue",695.0,167.0,695.0,167.0,,,,71.0
"Ris, agneau, cru",508.0,122.0,508.0,122.0,,0.0,,
"Ris, veau, cru",407.0,,407.0,,,0.0,,
"Rognon, boeuf, cru",404.0,,404.0,,,,,
"Rognon, porc, cru",412.0,,412.0,,,,,
"Rognon, agneau, cru",396.0,,396.0,,,,,
"Rognon, veau, cru",363.0,,363.0,,16.0,,,78.0
"Tripes, boeuf, crues",342.0,,342.0,,,0.0,,
"Sang, boeuf, cru",349.0,,349.0,,,,,
"Gésier, poulet, cru",443.0,105.0,443.0,105.0,,,,
Charcuterie (aliment moyen),991.0,238.0,991.0,238.0,,,,
Jambon persillé en gelée,637.0,152.0,637.0,152.0,19.0,,,
Jambon de porc à cuire ou Jambon à rôtir/cuire au four,673.0,161.0,673.0,161.0,,0.0,,
Filet de bacon,500.0,118.0,500.0,118.0,,,,
"Jambon cuit, fumé",569.0,135.0,569.0,135.0,20.0,,,
"Jambon cuit, supérieur",527.0,125.0,527.0,125.0,,,,
"Jambon cuit, supérieur, avec couenne",576.0,137.0,576.0,137.0,,,,
"Jambon cuit, supérieur, découenné",492.0,117.0,492.0,117.0,,,,73.0
Jambon à l'os braisé,992.0,238.0,992.0,238.0,,,,
"Jambon cuit, supérieur, découenné dégraissé",501.0,119.0,501.0,119.0,,,,
"Jambon cuit, supérieur, à teneur réduite en sel",509.0,121.0,509.0,121.0,,,,
"Jambon cuit, choix",528.0,125.0,528.0,125.0,,,,
"Épaule de porc, cuite, choix, découennée dégraissée",507.0,121.0,507.0,121.0,18.0,,,
"Jambon cuit, choix, avec couenne",572.0,137.0,572.0,137.0,,,,
"Jambon cuit, choix, découenné dégraissé",481.0,114.0,481.0,114.0,,,,
